GeneID	KEGG	Pfam	GO
Gene00604			
Gene00605			
Gene00606	K14638	PF00854.20	GO:0005215,GO:0006810,GO:0016020
Gene00607		PF12315.7	
Gene00608		PF01535.19	
Gene00609		PF12174.7	
Gene00610			
Gene00611			
Gene00612	K05607	PF00378.19,PF16113.4	GO:0003824,GO:0003860,GO:0008152
Gene00613		PF00168.29,PF00168.29,PF00168.29,PF08372.9	
Gene00614			
Gene00615		PF13041.5,PF13812.5,PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF01535.19	
Gene00616		PF13855.5,PF00560.32,PF13516.5,PF13516.5,PF13855.5,PF00560.32	GO:0005515
Gene00617			
Gene00618		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene00619		PF00931.21	GO:0043531
Gene00620		PF01582.19,PF13676.5	GO:0005515,GO:0007165
Gene00621			
Gene00622		PF00690.25	
Gene00623	K11253	PF00125.23	GO:0003677
Gene00624		PF00125.23	GO:0003677
Gene00625		PF05056.11	
Gene00626			
Gene00627		PF00696.27	
Gene00628			
Gene00629			
Gene00630			
Gene00631			
Gene00632			
Gene00633			
Gene00634			
Gene00635	K08360	PF03188.15	
Gene00636			
Gene00637	K11267		
Gene00638	K14546	PF00400.31,PF12894.6,PF00400.31	GO:0005515
Gene00639		PF00571.27	
Gene00640		PF13894.5,PF13912.5,PF00096.25,PF12874.6	
Gene00641			
Gene00642		PF13306.5,PF13855.5	GO:0005515
Gene00643	K08657		
Gene00644		PF01112.17	GO:0016787
Gene00645			
Gene00646		PF01535.19	
Gene00647			
Gene00648			
Gene00649		PF00069.24,PF07714.16,PF00433.23	GO:0004672,GO:0004674,GO:0005524,GO:0006468
Gene00650	K10592	PF06012.11,PF06025.11,PF06012.11	
Gene00651	K14310	PF11894.7,PF11894.7	GO:0005643
Gene00652		PF00079.19,PF00079.19	
Gene00653		PF16863.4,PF13802.5,PF01055.25	GO:0004553,GO:0005975
Gene00654	K02349	PF00476.19	GO:0003677,GO:0003887,GO:0006260
Gene00655			
Gene00656		PF00168.29,PF00168.29	
Gene00657		PF00168.29,PF00168.29,PF00168.29,PF00168.29	
Gene00658		PF00168.29	
Gene00659		PF00146.20	GO:0016020,GO:0055114
Gene00660			
Gene00661		PF14778.5,PF14778.5	
Gene00662			
Gene00663			
Gene00664			
Gene00665	K18980	PF00107.25,PF13602.5	GO:0055114
Gene00666		PF08240.11	GO:0055114
Gene00667			
Gene00668		PF04321.16,PF01370.20,PF16363.4,PF01370.20,PF16363.4	GO:0003824,GO:0050662
Gene00669		PF08263.11	
Gene00670		PF02298.16	GO:0009055
Gene00671	K01922	PF04127.14	
Gene00672	K16283		
Gene00673		PF00982.20	GO:0003824,GO:0005992
Gene00674			
Gene00675	K21852	PF14429.5	
Gene00676			
Gene00677			
Gene00678			
Gene00679		PF03031.17	
Gene00680			
Gene00681			
Gene00682			
Gene00683		PF02466.18	
Gene00684			
Gene00685			
Gene00686		PF01582.19,PF13676.5,PF14228.5	GO:0005515,GO:0007165
Gene00687			
Gene00688			
Gene00689	K09533	PF14237.5,PF00226.30	
Gene00690	K11968		
Gene00691	K00430	PF00141.22	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Gene00692	K02149		
Gene00693			
Gene00694		PF04576.14	
Gene00695		PF13302.6,PF00583.24	GO:0008080
Gene00696			
Gene00697		PF03767.13	
Gene00698		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene00699	K03878	PF00146.20	GO:0016020,GO:0055114
Gene00700			
Gene00701	K08064	PF02045.14	GO:0003700,GO:0006355
Gene00702		PF01490.17	
Gene00703			
Gene00704	K10732		
Gene00705			
Gene00706			
Gene00707			
Gene00708		PF05703.10,PF08458.9	
Gene00709	K01759	PF00903.24,PF13669.5,PF00903.24	
Gene00710		PF00082.21	GO:0004252,GO:0006508
Gene00711		PF00847.19	GO:0003700,GO:0006355
Gene00712			
Gene00713		PF00091.24	GO:0003924
Gene00714			
Gene00715			
Gene00716			
Gene00717		PF13456.5	
Gene00718			
Gene00719			
Gene00720			
Gene00721			
Gene00722			
Gene00723			
Gene00724		PF14968.5	
Gene00725	K12164		
Gene00726	K00979	PF02348.18	
Gene00727			
Gene00728			
Gene00729	K09422	PF00249.30,PF13921.5,PF00249.30,PF13921.5	
Gene00730			
Gene00731	K19861	PF02458.14	GO:0016747
Gene00732		PF00514.22	GO:0005515
Gene00733	K02208	PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene00734		PF00314.16	
Gene00735		PF07725.11	
Gene00736			
